URL,Date,ビュー,ビューフォロワー,ビューフォロワー以外,ホーム,発見から,その他,リーチしたアカウント数,インタラクション,インタラクションフォロワー,インタラクションフォロワー以外,投稿でのインタラクション,「いいね！」,保存数,コメント,シェア数,アクションを実行したアカウント,プロフィールのアクティビティ,プロフィールへのアクセス,フォロー数,ハッシュタグ,外部リンクのタップ,プロフィール,リールでのインタラクション
https://www.instagram.com/p/DAVZYNYSHjH/,2024-09-25 09:00:31,14000.0,94.8%,5.2%,11000,420,178,7304,285,91.3%,8.7%,0,267,17,1,0,275,15,13,2,,,,
https://www.instagram.com/p/DASX6WFy5Ld/,2024-09-24 04:49:59,5611,89.6%,10.4%,4896,,162,3466,156,92.5%,7.5%,0,147,6,0,0,156,12,11,0,118,1,,
https://www.instagram.com/p/DAQNZ9rS4vv/,2024-09-23 08:39:42,7675,97.6%,2.4%,6334,,35,4227,94,100%,0%,0,91,3,0,0,98,42,32,0,,10,128,
https://www.instagram.com/p/DANX_LfRGW4/,2024-09-22 06:14:27,16000.0,92.7%,7.3%,10000,752,316,7066,341,85.2%,14.8%,0,329,11,0,0,330,39,37,1,,1,,
https://www.instagram.com/p/DALSUyhveyl/,2024-09-21 10:46:29,21000.0,63%,37%,10000,6867,369,14000,781,47.5%,52.5%,0,684,87,4,0,741,142,127,13,,2,,
https://www.instagram.com/p/DAM0D6FyQZV/,2024-09-21 02:52:37,13000.0,91.3%,8.7%,9469,588,402,6789,332,84.6%,15.4%,0,294,34,1,0,333,43,39,3,,1,,
https://www.instagram.com/p/DAIc5-eSp0G/,2024-09-20 08:21:13,9885,94.1%,5.9%,7678,,293,5336,236,92.1%,7.9%,0,219,15,0,0,234,30,25,2,,3,254,
https://www.instagram.com/p/DAFxUQZSDTo/,2024-09-19 07:21:51,22000.0,62.6%,37.4%,12000,6949,590,14000,1168,52.4%,47.6%,0,1048,108,4,0,1098,95,85,8,,2,,
https://www.instagram.com/p/DADl7hSyiyj/,2024-09-18 11:03:52,11000.0,86.9%,13.1%,8275,352,416,6416,301,86.5%,13.5%,0,279,17,1,0,285,22,20,2,,,,
https://www.instagram.com/p/DAAwn49RmYw/,2024-09-17 08:39:35,7881,94.7%,5.3%,6585,,223,6362,119,92.6%,7.4%,0,109,10,0,0,116,39,34,0,,5,270,
https://www.instagram.com/p/C_-Xsl9ykQZ/,2024-09-16 10:23:18,13000.0,93.4%,6.6%,9307,,167,6566,247,93.5%,6.5%,0,232,14,0,0,240,29,28,0,,1,321,
https://www.instagram.com/p/C_7GW1jSqg2/,2024-09-15 03:54:04,14000.0,75.5%,24.5%,8869,1159,461,8173,291,84.7%,15.3%,0,266,21,0,0,279,53,48,1,,4,,
https://www.instagram.com/p/C_4HPztTfEM/,2024-09-14 00:52:18,15000.0,84.6%,15.4%,11000,856,553,9566,502,88.5%,11.5%,0,465,25,5,0,493,59,56,3,,,,
https://www.instagram.com/reel/C_21B9cSORC/,2024-09-13 12:07:30,12000.0,,,,,,8047,228,96.2%,3.8%,,214,7,0,0,226,0,,0,,,,0
https://www.instagram.com/p/C_ziIz4ytkc/,2024-09-12 05:22:53,16000.0,88.1%,11.9%,12000,,100,8956,182,95.2%,4.8%,0,165,15,0,0,182,38,32,3,,3,459,
https://www.instagram.com/p/C_xhD9zyLab/,2024-09-11 10:35:00,18000.0,61%,39%,10000,5836,570,13000,444,54.5%,45.5%,0,414,28,0,0,439,74,63,5,,6,,
https://www.instagram.com/reel/C_rzU3KSAzS/,2024-09-09 05:20:42,18000.0,,,,,,12000,664,68.5%,31.5%,,600,54,5,0,636,16,,16,,,,0
https://www.instagram.com/p/C_pnG1Fx9tO/,2024-09-08 08:53:54,11000.0,88.3%,11.7%,8478,700,460,6466,464,81.7%,18.3%,0,438,22,0,0,445,35,29,2,,4,,
https://www.instagram.com/p/C_m-SMHx95K/,2024-09-07 08:18:42,13000.0,83.4%,16.6%,9315,1632,636,7828,294,78.5%,21.5%,0,279,14,1,0,293,21,19,0,,2,,
https://www.instagram.com/p/C_klwgSSZgN/,2024-09-06 10:05:55,24000.0,57.9%,42.1%,13000,5731,883,16000,1247,55.8%,44.2%,0,1081,152,4,0,1194,12,1,11,,,,
